state,abortion_status,total_community_health_centers,uninsured,insured,maternal_mortality,population,no_doctor_visits,mammogram,no_provider,pap_smear,prescription_contraception,otc_methods,male_sterilization,female_sterilization,cost_sharing,teen_births,poverty_under_200,percent_of_all_us_abortions,percent_residents_traveling_outside_state,abortions_occurring_state,abortions_residence_state,no_services,few_services,restricted_services,full_service,land_area_sqmi
Alabama,Abortion Ban In Effect,17,165700,1297200,109.2858258,4767100,0.12,0.74,0.13,0.74,No,No,No,No,No,24.8,0.332,0.6,47,5700,9060,8,44,5,0,50645
Alaska,Abortion Available,27,29200,178000,84.48621819,701700,0.12,0.63,0.23,0.65,No,No,No,No,No,17.7,0.285,0.1,7,1240,1320,3,7,0,4,570641
Arizona,Status of pre-Roe ban unclear,23,309000,1823900,87.07292032,7098000,0.11,0.68,0.19,0.69,Yes,No,No,No,No,16.6,0.298,1.4,6,13320,13820,19,28,7,0,113594
Arkansas,Abortion Ban In Effect,12,83800,782100,124.8191541,2922500,0.12,0.7,0.13,0.68,Yes,No,No,No,No,27.8,0.334,0.3,37,3250,4510,9,31,3,0,52035
California,Abortion Available,175,1034300,10850800,32.12304793,38642700,0.09,0.68,0.19,0.74,Yes,Yes,No,Yes,Yes,11,0.272,16.6,0,154060,152400,51,97,0,124,155779
Colorado,Abortion Available,19,204300,1554300,43.90672261,5611800,0.11,0.67,0.17,0.69,Yes,No,No,No,No,12.5,0.219,1.4,1,13420,11830,17,34,0,15,103642
Connecticut,Abortion Available,16,58100,979900,53.79557681,3453300,0.07,0.78,0.1,0.8,Yes,Yes,No,Yes,Yes,7.6,0.228,1.2,6,11170,11460,12,8,0,18,4842
Delaware,Abortion Available,3,24800,271000,48.1139338,940300,0.09,0.74,0.12,0.75,Yes,Yes,No,Yes,Yes,14.6,0.292,0.2,44,1830,2870,10,0,0,2,1949
District of Columbia,Abortion Available,8,7600,244000,78.88212756,671300,0.06,0.74,0.15,0.8,Yes,Yes,No,Yes,Yes,15.6,0.271,1,45,9410,5010,2,0,0,2,61
Florida,"Abortion available, pre-viability gestational limit in effect",47,1011800,5369800,67.24821268,20992000,0.14,0.74,0.2,0.73,No,No,No,No,No,15.2,0.325,8.3,1,77400,73830,22,129,0,48,53625
Georgia,6 week LMP ban currently in effect,35,586000,2770300,88.18270149,10294000,0.16,0.71,0.17,0.73,Yes,No,No,No,No,18.2,0.32,4.5,5,41620,36470,14,74,0,10,57513
Hawaii,Abortion Available,14,18900,360900,44.345898,1343000,0.06,0.78,0.1,0.73,Yes,No,No,No,No,13,0.24,0.3,2,3130,3120,0,6,0,2,6423
Idaho,"State abortion ban/restriction not yet implemented, abortion currently available",14,78900,456100,51.08438211,1750900,0.1,0.65,0.15,0.64,No,No,No,No,No,14.6,0.27,0.2,26,1690,2130,9,10,0,3,82643
Illinois,Abortion Available,45,328700,3403000,40.51073534,12362300,0.1,0.74,0.15,0.73,Yes,Yes,Yes,Yes,Yes,13.6,0.229,5.7,1,52780,42250,25,72,0,25,55519
Indiana,"Abortion available, pre-viability gestational limit in effect",27,131100,1826500,86.4963875,6511800,0.1,0.69,0.12,0.69,No,No,No,No,No,18.7,0.267,0.8,31,7880,10810,22,74,0,6,35826
Iowa,"Abortion available, pre-viability gestational limit in effect",14,72800,854500,38.76612948,3060200,0.07,0.76,0.1,0.7,Yes,No,No,No,No,13.3,0.249,0.4,12,3510,3510,15,28,0,6,55857
Kansas,"Abortion available, pre-viability gestational limit in effect",19,93200,734100,66.90714452,2811200,0.1,0.69,0.13,0.68,No,No,No,No,No,18.1,0.253,0.9,4,8180,4120,18,20,0,4,81759
Kentucky,Abortion Ban In Effect,25,101400,1204100,121.9323372,4319300,0.09,0.71,0.12,0.72,No,No,No,No,No,23.8,0.35,0.4,39,4080,5690,18,37,3,0,39486
Louisiana,Abortion Ban In Effect,36,133400,1243400,97.68350544,4498600,0.09,0.78,0.12,0.75,No,No,No,No,No,25.7,0.357,0.8,21,7360,7760,1,31,3,0,43204
Maine,Abortion Available,18,24400,373700,25.99878672,1302300,0.08,0.77,0.08,0.73,Yes,No,No,Yes,Yes,10.6,0.26,0.3,5,2370,2370,4,7,0,19,30843
Maryland,Abortion Available,17,91400,1747100,56.8894594,5875500,0.08,0.75,0.1,0.76,Yes,Yes,Yes,No,Yes,13.1,0.21,3.3,17,30750,29590,8,32,0,18,9707
Massachusetts,Abortion Available,37,75000,2071900,45.16167881,6650800,0.06,0.8,0.07,0.77,Yes,Yes,No,Yes,Yes,6.1,0.2,1.8,6,17060,17460,16,13,0,9,7800
Michigan,Abortion Available,39,126300,2792500,60.53385091,9765600,0.08,0.74,0.08,0.73,Yes,No,No,No,No,13.5,0.25,3.4,1,31500,30150,39,66,0,24,56539
Minnesota,Abortion Available,16,107600,1543300,29.94814243,5514800,0.08,0.73,0.15,0.71,No,No,No,No,No,9.1,0.213,1.2,3,11060,10380,27,46,0,5,79627
Mississippi,Abortion Ban In Effect,20,117200,767000,93.02850055,2867100,0.13,0.71,0.13,0.77,No,No,No,No,No,27.9,0.407,0.4,44,3560,5760,8,21,1,0,46923
Missouri,Abortion Ban In Effect,28,202800,1570300,77.93894782,5939900,0.12,0.71,0.15,0.71,Yes,No,No,No,No,18.8,0.279,0,99,170,11710,22,51,3,0,68742
Montana,Abortion Available,14,26300,273900,74.13585395,1039400,0.09,0.68,0.17,0.67,Yes,No,No,No,No,13.2,0.296,0.2,3,1630,1510,4,13,0,5,145546
Nebraska,"Abortion available, pre-viability gestational limit in effect",7,53000,505300,86.45177226,1873600,0.09,0.7,0.12,0.69,No,No,No,No,No,15.1,0.269,0.2,8,2200,2020,6,14,0,3,76824
Nevada,Abortion Available,8,116600,822700,59.43006567,3029700,0.12,0.69,0.24,0.69,Yes,Yes,No,Yes,Yes,16.8,0.319,1.2,4,11010,10870,1,6,0,7,109781
New Hampshire,Abortion Available,10,19300,360500,16.96208973,1314000,0.09,0.74,0.07,0.72,Yes,No,No,No,Yes,6.6,0.157,0.2,23,2050,2150,4,10,0,5,8953
New Jersey,Abortion Available,23,208000,2412400,73.50388958,8699400,0.1,0.73,0.13,0.78,Yes,Yes,Yes,Yes,Yes,9.2,0.202,5.2,6,48830,48390,11,28,0,31,7354
New Mexico,Abortion Available,16,83500,505700,45.65584623,2041400,0.09,0.65,0.19,0.69,Yes,Yes,Yes,Yes,Yes,21.9,0.408,0.6,8,5880,3950,7,17,0,5,121298
New York,Abortion Available,63,258400,5596100,63.53361549,18908300,0.08,0.77,0.15,0.78,Yes,Yes,Yes,Yes,Yes,10,0.27,11.9,1,110360,105990,46,46,0,64,47126
North Carolina,Abortion Available,39,397100,2834000,62.53747965,10139700,0.12,0.75,0.14,0.75,Yes,No,No,No,No,17.3,0.315,3.4,2,31850,27030,16,73,0,13,48618
North Dakota,"State abortion ban/restriction not yet implemented, abortion currently available",4,17900,194600,69.58942241,731000,0.07,0.75,0.19,0.66,No,No,No,No,No,13.7,0.273,0.1,13,1170,960,1,6,1,0,69001
Ohio,6 week LMP ban currently in effect,51,241800,3112000,65.79405686,11351500,0.09,0.72,0.13,0.71,No,No,No,No,No,17.6,0.302,2.3,10,20990,21920,31,93,9,0,40861
Oklahoma,Abortion Ban In Effect,21,241200,894600,75.59372572,3826900,0.15,0.68,0.16,0.67,No,No,No,No,No,25,0.366,1,5,9690,8330,2,45,3,0,68595
Oregon,Abortion Available,30,62600,1198300,45.20341537,4128900,0.11,0.72,0.14,0.72,Yes,Yes,Yes,Yes,Yes,10.1,0.248,0.9,5,8560,8110,1,37,0,11,95988
Pennsylvania,Abortion Available,42,230100,3525600,45.90911525,12377600,0.08,0.74,0.09,0.74,No,No,No,No,No,12.6,0.241,3.5,14,32260,34950,41,119,0,15,44743
Rhode Island,Abortion Available,8,12700,313100,49.5000495,1017100,0.07,0.81,0.08,0.78,Yes,No,No,No,No,9.4,0.238,0.3,17,2760,2830,0,3,0,2,1034
South Carolina,6 week LMP ban currently in effect,23,186400,1344400,87.96495763,4984200,0.12,0.76,0.14,0.71,No,No,No,No,No,19.3,0.29,0.6,57,5300,11830,1,34,2,0,30061
South Dakota,Abortion Ban In Effect,4,24400,214800,63.86861314,851300,0.07,0.75,0.13,0.7,No,No,No,No,No,18.7,0.247,0,84,130,680,0,11,1,0,75811
Tennessee,6 week LMP ban currently in effect,29,283100,1785700,105.4785294,6640900,0.12,0.73,0.14,0.72,No,No,No,No,No,23.3,0.327,1.2,23,10850,10450,2,58,8,0,41235
Texas,Abortion Ban In Effect,72,1929400,6797900,69.800918,28286200,0.17,0.69,0.25,0.7,No,No,No,No,No,22.4,0.315,6.2,8,58020,61500,6,192,19,0,261232
Utah,"Abortion ban temporarily blocked, abortion available",13,108800,823200,37.19749683,3154100,0.1,0.64,0.17,0.64,No,No,No,No,No,10.8,0.201,0.3,8,3120,3220,1,7,2,0,82170
Vermont,Abortion Available,11,5600,170700,19.48178453,598100,0.07,0.68,0.08,0.7,Yes,No,Yes,Yes,Yes,7,0.224,0.1,7,1230,1100,0,7,0,6,9217
Virginia,Abortion Available,26,211200,2499200,68.60230715,8185100,0.1,0.75,0.15,0.75,Yes,No,No,Yes,Yes,13.1,0.207,2,25,18740,23390,3,51,0,12,39490
Washington,Abortion Available,27,203300,2165900,62.58575452,7423900,0.09,0.68,0.16,0.68,Yes,Yes,Yes,Yes,Yes,11.3,0.206,1.9,5,17980,17910,0,45,0,33,66456
West Virginia,"Abortion ban temporarily blocked, abortion available",28,31100,467000,69.27206604,1739000,0.1,0.74,0.11,0.72,Yes,No,No,No,No,22.5,0.333,0.1,52,990,1780,2,15,1,0,24038
Wisconsin,Status of pre-Roe ban unclear,16,105600,1677500,28.05558306,5677100,0.08,0.75,0.09,0.72,Yes,No,No,No,No,11.5,0.219,0.7,17,6960,8290,5,53,3,0,54158
Wyoming,"Abortion ban temporarily blocked, abortion available",6,19100,141500,48.95561358,562700,0.12,0.64,0.2,0.64,No,No,No,No,No,18.1,0.282,0,88,100,700,0,12,1,0,97093
