State,Status of Abortion
Alabama,Abortion Ban In Effect
Alaska,Abortion Available
Arizona,Status of pre-Roe ban unclear
Arkansas,Abortion Ban In Effect
California,Abortion Available
Colorado,Abortion Available
Connecticut,Abortion Available
Delaware,Abortion Available
District of Columbia,Abortion Available
Florida,"Abortion available, pre-viability gestational limit in effect"
Georgia,6 week LMP ban currently in effect
Hawaii,Abortion Available
Idaho,"State abortion ban/restriction not yet implemented, abortion currently available"
Illinois,Abortion Available
Indiana,"Abortion available, pre-viability gestational limit in effect"
Iowa,"Abortion available, pre-viability gestational limit in effect"
Kansas,"Abortion available, pre-viability gestational limit in effect"
Kentucky,Abortion Ban In Effect
Louisiana,Abortion Ban In Effect
Maine,Abortion Available
Maryland,Abortion Available
Massachusetts,Abortion Available
Michigan,Abortion Available
Minnesota,Abortion Available
Mississippi,Abortion Ban In Effect
Missouri,Abortion Ban In Effect
Montana,Abortion Available
Nebraska,"Abortion available, pre-viability gestational limit in effect"
Nevada,Abortion Available
New Hampshire,Abortion Available
New Jersey,Abortion Available
New Mexico,Abortion Available
New York,Abortion Available
North Carolina,Abortion Available
North Dakota,"State abortion ban/restriction not yet implemented, abortion currently available"
Ohio,6 week LMP ban currently in effect
Oklahoma,Abortion Ban In Effect
Oregon,Abortion Available
Pennsylvania,Abortion Available
Rhode Island,Abortion Available
South Carolina,6 week LMP ban currently in effect
South Dakota,Abortion Ban In Effect
Tennessee,6 week LMP ban currently in effect
Texas,Abortion Ban In Effect
Utah,"Abortion ban temporarily blocked, abortion available"
Vermont,Abortion Available
Virginia,Abortion Available
Washington,Abortion Available
West Virginia,"Abortion ban temporarily blocked, abortion available"
Wisconsin,Status of pre-Roe ban unclear
Wyoming,"Abortion ban temporarily blocked, abortion available"