State,"Teen Birth Rate per 1,000"
Alabama,24.8
Alaska,17.7
Arizona,16.6
Arkansas,27.8
California,11
Colorado,12.5
Connecticut,7.6
Delaware,14.6
District of Columbia,15.6
Florida,15.2
Georgia,18.2
Hawaii,13
Idaho,14.6
Illinois,13.6
Indiana,18.7
Iowa,13.3
Kansas,18.1
Kentucky,23.8
Louisiana,25.7
Maine,10.6
Maryland,13.1
Massachusetts,6.1
Michigan,13.5
Minnesota,9.1
Mississippi,27.9
Missouri,18.8
Montana,13.2
Nebraska,15.1
Nevada,16.8
New Hampshire,6.6
New Jersey,9.2
New Mexico,21.9
New York,10
North Carolina,17.3
North Dakota,13.7
Ohio,17.6
Oklahoma,25
Oregon,10.1
Pennsylvania,12.6
Rhode Island,9.4
South Carolina,19.3
South Dakota,18.7
Tennessee,23.3
Texas,22.4
Utah,10.8
Vermont,7
Virginia,13.1
Washington,11.3
West Virginia,22.5
Wisconsin,11.5
Wyoming,18.1